,0
0,2000.0
1,1943.1871048597268
2,1912.6185214950942
3,1876.9183736846076
4,2013.0730688148985
5,1948.0235626108756
6,1921.5713973798804
7,1839.6716785547417
8,1849.0721318829567
9,1868.8122535487867
10,1691.8210287229685
11,1767.8038683497782
12,1788.2755368524788
13,1762.5935575511355
14,1609.8659704788738
15,1496.3232064288538
16,1467.605437367341
17,1468.2235765269118
18,1494.7607747037941
19,1401.6274652380855
20,1465.9663474312304
21,1392.3338113057123
22,1269.1126758611665
23,1275.4643040965027
24,1270.2220841329888
25,1262.3794709264923
26,1265.171624830039
27,1342.0914874372631
28,1278.8312309199541
29,1192.3497145325662
30,1348.3220630756907
31,1356.8984807371173
32,1306.4265278513553
33,1265.628580523448
34,1196.8106586226768
35,1227.251319245012
36,1190.2669351565648
37,1207.1912722558284
38,1149.033875597058
39,1072.4696389799203
40,1060.045477389152
41,1045.8132245768195
42,995.6326692268241
43,937.765944429568
44,952.0444964214681
45,925.3562921868117
46,966.6593327713485
47,913.3056752871714
48,935.5084269960314
49,911.0205893998098
50,869.7460694998401
51,896.3152344956648
52,862.1328148015032
53,743.4456167273273
54,743.5902219106151
55,718.7454226544626
56,771.4950498572599
57,760.7625782179546
58,723.8298727832699
59,745.1143912447566
60,722.1931145608875
61,735.5650313829268
62,689.4552080833795
63,687.3493832365951
64,716.4727768533218
65,675.7817284608067
66,708.2465373812912
67,709.1822127784588
68,716.3282789079268
69,699.9727855351242
70,732.6135463727456
71,757.133208020726
72,785.8416179683272
73,828.3205684606336
74,881.1318536120015
75,807.4704805867901
76,745.2147398539119
77,727.9930914751855
78,766.239191360604
79,795.2394036574722
80,862.6735968825659
81,860.0187284149753
82,865.5290128410102
83,841.5594709191826
84,799.876618370838
85,821.4363361153357
86,845.7014724951993
87,884.1698533097933
88,924.8250597468118
89,915.6607508978236
90,860.5365216586255
91,872.0367493705559
92,934.7062818974036
93,907.8217699906739
94,928.5344811562968
95,929.3897934090419
96,1028.9664008556222
97,988.5403551845208
98,1007.0014243045457
99,1009.1469339785829
100,977.5614840530649
101,1076.8506224424418
102,1177.0407689071696
103,1152.015419718122
104,1211.602604578767
105,1354.759134826281
106,1244.6765900781281
107,1204.7087720581496
108,1134.9079374332894
109,1042.5678359790725
110,1105.0243002899533
111,1123.5316455330485
112,1115.7410373554771
113,1068.9907955605295
114,1057.914232556629
115,1087.2873849435714
116,1063.682548624537
117,1039.1794094471757
118,1104.8952341107706
119,1076.9422461196639
120,1119.5306710057416
121,1185.1522234133586
122,1064.8171867071105
123,998.6414980691685
124,1016.13603133244
125,968.6316556463543
126,1010.2976328894275
127,1031.9813996785347
128,988.5448933007052
129,1022.2540105250885
130,1033.974749046432
131,1021.6346587504675
132,969.0687503180819
133,900.1085371624771
134,961.0896350591186
135,1202.2351912751526
136,1204.4480224806343
137,1245.6013422959018
138,1188.4038743584326
139,1213.3950511269227
140,1273.3925731268016
141,1257.196348111902
142,1233.0384705311296
143,1290.3492260619098
144,1229.507327107418
145,1221.3017179601438
146,1267.8852642328284
147,1294.9134148189103
148,1308.9532498124236
149,1257.4632452085837
150,1264.2419235265686
151,1382.7942486323957
152,1334.1572485001302
153,1308.671280216972
154,1259.4181559675023
155,1303.3483000760996
156,1337.1979005508836
157,1321.4229743090625
158,1329.111624876823
159,1301.503952561591
160,1334.9202470385314
161,1333.798288819203
162,1229.1035410267332
163,1260.1181619873273
164,1321.0821245290076
165,1272.9282105071175
166,1347.8152576885504
167,1387.869469066035
168,1307.3456452761518
169,1328.3083553631398
170,1344.2416596777728
171,1296.8963233478723
172,1294.6811129565876
173,1289.053341386276
174,1224.044204904043
175,1253.3022903982485
176,1249.1394195814694
177,1307.9772651658118
178,1323.3053560054755
179,1376.5877050948998
180,1378.926341910702
181,1436.6541125518565
182,1474.5905864528127
183,1286.3167291828458
184,1332.060469770803
185,1361.5017108721715
186,1288.3762649632256
187,1262.6414179252113
188,1237.0790426123497
189,1272.4671726156084
190,1304.5737390174045
191,1279.8653303335948
192,1313.9810534519615
193,1289.577115748484
194,1222.0269315628657
195,1144.2806728804073
196,1165.7699186636858
197,1121.116725899787
198,1046.2637708233692
199,1030.7123678476228
200,1068.086486022964
201,1146.064513295393
202,1070.703183690259
203,1023.1876471083922
204,1030.8945391324496
205,1022.4656666170038
206,1000.5946360527332
207,968.479066012821
208,1010.9208954437197
209,1032.6072990859993
210,935.5094936470313
211,984.6224053168894
212,961.6940389510581
213,951.8957348008905
214,979.1418753689967
215,979.5432344818953
216,956.4428841581461
217,1009.9263341211785
218,973.530559412918
219,938.5340511065175
220,898.8547194070812
221,864.3545112622686
222,832.2132446242928
223,795.3033805500081
224,780.6470124389119
225,776.7489890668002
226,794.3397008169234
227,755.0448803355578
228,781.4626049864663
229,811.1047600196414
230,769.681010485658
231,755.1151538918014
232,810.2095028712386
233,784.5714174431312
234,726.6351279670594
235,705.1936188639067
236,658.6325417806063
237,684.3005665737379
238,697.0982562147508
239,718.833609968989
240,749.3134890162081
241,794.1152840664315
242,808.4844499151093
243,872.1217025692857
244,846.9497993412583
245,802.693912664654
246,803.7502218723642
247,783.1542632174096
248,761.7407869049413
249,791.6296680089506
250,817.5417603269109
251,837.397822331172
252,811.8257915028632
253,771.4654585723791
254,733.6105113035279
255,778.6844997298151
256,814.9224908546082
257,871.9398062326104
258,916.5981825778995
259,915.6855533925516
260,930.6151350399223
261,896.9880449162985
262,947.5189164626619
263,974.7591107417096
264,909.4867811373477
265,956.6201485433362
266,937.7317304944826
267,935.3729363451862
268,804.2210708960994
269,793.317886404025
270,793.71073439809
271,709.0019601873233
272,673.461894228422
273,610.7143110352657
274,614.5436278918717
275,614.0446743288101
276,618.285523304491
277,691.3376559494292
278,702.7728734709099
279,677.572533612242
280,700.8789611169178
281,692.2706424740126
282,732.3511858464823
283,771.6484946016177
284,784.5873893675988
285,813.187197711883
286,742.2132914104491
287,761.3789097395011
288,776.9956805027635
289,800.2319702203208
290,864.6990259769864
291,803.8933647593319
292,806.0900171406375
293,819.8710218333855
294,810.9128227018394
295,846.7940196032924
296,848.5027526751871
297,822.8158103756743
298,777.3276116891539
299,797.2326414286738
300,752.5595671316131
301,715.6799679775253
302,718.23793339472
303,631.001370026584
304,600.6567159334621
305,587.3472638033776
306,597.7635895386313
307,649.8382020752915
308,656.5144151484154
309,641.7179849130863
310,691.7078359455638
311,674.822264037476
312,654.36102038634
313,623.9348350529673
314,630.3575268273319
315,642.6970782460336
316,600.829537856418
317,570.5771888078326
318,532.8206037741044
319,528.9337896018985
320,537.901723238851
321,538.0256443157052
322,514.523687213951
323,513.3993039463385
324,499.76124510406675
325,477.77321832351794
326,458.6792316870809
327,446.2243157561736
328,448.3417889546152
329,443.83316558093605
330,424.1116622834637
